id,loss
4,1988.6975171313131
6,2800.258303571432
9,7432.853585999993
12,5391.109973333336
15,1391.3560085242423
17,2301.2973251111107
21,2682.0781413333325
28,1808.5210773333313
32,2661.5322788095227
43,4268.892480393933
46,2539.9177980952354
50,1443.5399704523825
54,1864.8234622051273
62,2624.73902
70,2509.977506000001
71,5846.2836997435925
75,2197.2401225
77,3328.8960722727284
81,2412.7862601666684
83,3142.44231666666
87,1814.8899897575798
97,3246.820025000005
103,1928.7639844444416
119,2045.880755142855
120,2676.224994666669
127,1782.8294446444945
138,4294.9507671428555
141,3115.448899468254
148,1859.1862198809536
150,2882.562278492063
151,2441.5061989711407
158,1948.3391265
160,6289.866836666664
165,2224.325518904761
168,3987.4701216666663
169,3118.1225076190485
177,2802.226893272724
178,4527.701923333329
184,2264.5108953333324
194,6831.061843333339
198,2275.3674416666677
203,5426.629527878782
211,2932.3548999999953
217,1644.3779206764702
219,1928.2422959999974
221,3532.7565433333352
227,2650.259463000001
230,2020.2849088333373
235,2306.2297776666655
240,1195.9377755656096
243,2652.409962333334
249,6877.2992866666555
253,3441.1618560952393
258,1754.3456645454557
261,2298.447419142858
263,4177.240675666669
264,3291.9785422222176
265,5937.5578943333285
268,2144.0576893333327
271,2686.6582333333354
274,6081.171082666666
275,1592.8096087323245
279,2396.9124367738127
282,2146.7807033333333
286,3389.0560912857145
288,2085.7759105714294
294,3008.386742083335
296,1580.8348283333305
297,2303.085537833334
300,1448.3378174744566
303,8258.049192000002
314,2266.5197380952354
315,5140.6465710512775
321,2553.184028666667
323,6335.660109333338
330,4541.221880000001
341,2768.9676819999977
342,5335.13667888889
352,2317.3592486190482
353,4262.75120642857
360,6223.631880000005
361,2361.7922491428562
362,4150.661943333335
366,1729.3859516666664
372,4460.442866666667
376,3634.4228383333366
377,2993.022289999999
379,2189.030858095238
380,4271.408609333335
387,2125.6226343809526
392,2321.109811584416
394,9452.943908571411
395,1992.9005619999991
397,1947.8329276190452
407,6038.712143999999
411,7701.855166666653
416,2790.3973105714313
417,2054.1369413333337
419,2974.623203333332
428,5592.276824999999
431,2678.053834666667
436,10190.321381999987
438,2056.114159999999
445,7213.5709233333455
446,7759.712056666658
455,2046.8875815714293
456,1938.0289516730784
461,1476.4314464676424
463,1723.6984378095256
464,3954.549048166668
466,2800.791676333334
467,2821.9231733333318
470,2233.0942727619035
475,2000.9455083333341
482,2829.135926275644
490,3601.263128666669
496,3010.6114068571414
497,4791.428155999997
508,3460.6491413333306
510,2265.9705830303033
512,3860.5953433333357
513,5237.284076666664
523,2301.244129380948
531,6384.919455000002
532,2925.3587641666663
533,1459.5106158412707
537,1843.3339229462363
544,4714.469128333336
547,4562.440194999998
556,7554.256698444441
565,1781.3364104761918
566,1804.6398514705863
571,2095.7387342857155
573,3120.030238666664
574,1530.940891148488
581,3486.065885000002
585,2872.8375126666674
589,3131.3779430000004
597,2181.4318653333353
601,3506.0691469999983
602,2364.753481095235
613,2868.272544365077
616,1710.5968997619057
619,2410.9478642857175
622,2965.012542500001
623,2856.0611508571433
629,2157.450561030302
634,2156.3079337509716
638,1622.6618511904742
642,1446.641491531747
643,2534.383385
645,1707.6735558636346
648,6388.342423000002
652,2042.8649383888871
664,1493.4208701316547
666,2540.6973421666657
672,1632.5449556969704
676,2471.6363699999984
678,4075.9994076666662
682,2227.428811000001
686,3231.6436965238063
688,3204.624664666665
689,1839.7098046666665
690,2033.2609291666656
692,10176.272713333326
695,2164.7295517460298
697,4631.6994666666615
698,3163.1126466666656
706,2274.2601966666675
708,2026.6183165476214
712,3624.421605
715,3388.566650609898
717,1744.686168
725,3298.288280634921
729,1599.0382825897432
737,2085.6636166666644
739,5543.859106333327
747,5545.3692156666675
753,2863.703178787878
758,3810.250692000005
759,2560.2524031666694
763,2399.7417505238095
773,4726.874927999998
774,2471.4268708333348
776,2175.8116099999975
788,4465.813763333335
790,2766.91518285714
794,1674.0959300000006
801,3203.813486
802,2311.4445351948057
805,2269.8830833333363
